"Station","Date","maxT","meanT","minT","humid","wind","prec","Month"
"MIA",2017-01-19,90,77,64,67,3,0,1
"MIA",2017-01-20,90,77,64,66,4,0,1
"MIA",2017-01-21,93,80,68,65,3,0,1
"MIA",2017-01-22,90,79,68,68,3,0,1
"MIA",2017-01-23,84,78,73,82,5,0.01,1
"MIA",2017-01-24,87,78,69,78,9,0,1
"MIA",2017-01-25,89,79,69,67,6,0,1
"MIA",2017-01-26,89,79,69,59,6,0,1
"MIA",2017-01-27,89,78,68,65,6,0,1
"MIA",2017-01-28,90,80,71,68,6,0,1
"MIA",2017-01-29,88,80,73,78,3,0.02,1
"MIA",2017-01-30,92,82,73,64,3,0,1
"MIA",2017-01-31,91,81,71,65,7,0,1
"MIA",2017-02-01,91,81,71,72,8,0,2
"MIA",2017-02-02,94,84,73,67,5,0,2
"MIA",2017-02-03,94,84,73,63,8,0,2
"MIA",2017-02-04,91,80,69,65,8,0,2
"MIA",2017-02-05,92,80,68,62,7,0,2
"MIA",2017-02-06,90,80,69,78,9,0.04,2
"MIA",2017-02-07,87,80,74,91,4,0.59,2
"MIA",2017-02-08,83,78,73,92,3,0.63,2
"MIA",2017-02-09,76,74,71,92,9,0.94,2
"MIA",2017-02-10,80,76,73,92,10,0.28,2
"MIA",2017-02-11,85,78,71,80,5,0,2
"MIA",2017-02-12,87,76,66,74,2,0,2
"MIA",2017-02-13,86,78,71,79,3,0,2
"MIA",2017-02-14,84,80,75,89,2,0.08,2
"MIA",2017-02-15,85,79,73,87,3,0,2
"MIA",2017-02-16,86,80,73,88,3,0.02,2
"MIA",2017-02-17,89,82,75,89,3,0.12,2
"MIA",2017-02-18,83,78,74,91,3,0.28,2
"MIA",2017-02-19,89,80,71,79,2,0.12,2
"MIA",2017-02-20,89,81,73,77,5,0,2
"MIA",2017-02-21,88,82,75,79,8,0.01,2
"MIA",2017-02-22,88,80,71,81,4,0.16,2
"MIA",2017-02-23,87,78,69,75,3,0,2
"MIA",2017-02-24,84,75,66,70,4,0,2
"MIA",2017-02-25,84,73,62,79,3,0.08,2
"MIA",2017-02-26,85,76,68,80,3,0.02,2
"MIA",2017-02-27,88,78,67,70,3,0.01,2
"MIA",2017-02-28,88,80,73,64,3,0,2
"MIA",2017-03-01,91,82,73,69,5,0,3
"MIA",2017-03-02,90,82,75,79,4,0,3
"MIA",2017-03-03,88,82,75,79,3,0,3
"MIA",2017-03-04,90,82,73,80,3,0.08,3
"MIA",2017-03-05,91,81,71,67,4,0,3
"MIA",2017-03-06,93,83,73,71,4,0.28,3
"MIA",2017-03-07,86,80,73,83,6,0.98,3
"MIA",2017-03-08,86,78,71,73,4,0.01,3
"MIA",2017-03-09,86,78,71,77,4,0.04,3
"MIA",2017-03-10,89,80,71,84,3,0.2,3
"MIA",2017-03-11,83,78,73,82,3,0.08,3
"MIA",2017-03-12,89,79,69,79,3,0,3
"MIA",2017-03-13,93,83,73,67,4,0,3
"MIA",2017-03-14,88,82,77,73,3,0,3
"MIA",2017-03-15,89,82,75,77,5,0.03,3
"MIA",2017-03-16,87,81,75,76,5,0,3
"MIA",2017-03-17,86,80,73,84,2,0.24,3
"MIA",2017-03-18,88,80,71,79,3,0.02,3
"MIA",2017-03-19,85,77,69,72,7,0,3
"MIA",2017-03-20,85,78,71,69,7,0,3
"MIA",2017-03-21,86,76,66,63,4,0,3
"MIA",2017-03-22,88,78,68,66,3,0,3
"MIA",2017-03-23,91,78,66,63,4,0,3
"MIA",2017-03-24,85,78,71,78,4,0.03,3
"MIA",2017-03-25,90,80,69,74,3,0,3
"MIA",2017-03-26,87,78,68,79,2,0,3
"MIA",2017-03-27,85,78,71,81,2,0,3
"MIA",2017-03-28,86,78,69,74,3,0,3
"MIA",2017-03-29,87,76,64,69,4,0,3
"MIA",2017-03-30,86,75,64,68,4,0,3
"MIA",2017-03-31,91,78,66,75,3,0,3
